,Name,Club,Nationality,Position,Age,Matches,Starts,Mins,Goals,Assists,Passes_Attempted,Perc_Passes_Completed,Penalty_Goals,Penalty_Attempted,xG,xA,Yellow_Cards,Red_Cards,MinPerMatch,GoalsPerMatch
487,Jake Livermore,West Bromwich Albion,ENG,MF,30,18,15,1242,0,0,381,74.3,0,0,0.02,0.02,2,1,69.0,0.0
488,Grady Diangana,West Bromwich Albion,ENG,"MF,FW",22,20,15,1235,1,0,351,72.9,0,0,0.09,0.01,0,0,61.75,0.05
489,Ainsley Maitland-Niles,West Bromwich Albion,ENG,MF,22,15,14,1230,0,0,402,76.4,0,0,0.05,0.05,2,0,82.0,0.0
490,Mbaye Diagne,West Bromwich Albion,SEN,FW,28,16,14,1189,3,2,230,70.4,0,0,0.38,0.13,2,0,74.3125,0.1875
491,Karlan Grant,West Bromwich Albion,ENG,"FW,MF",22,21,14,1127,1,0,228,73.2,0,0,0.17,0.0,1,0,53.666666666666664,0.047619047619047616
492,Kieran Gibbs,West Bromwich Albion,ENG,DF,30,10,9,809,0,0,309,72.2,0,0,0.01,0.03,1,1,80.9,0.0
493,Branislav Ivanović,West Bromwich Albion,SRB,DF,36,13,8,767,0,0,311,85.2,0,0,0.06,0.01,2,0,59.0,0.0
494,Robert Snodgrass,West Bromwich Albion,SCO,"MF,FW",32,8,6,526,0,0,133,78.9,0,0,0.03,0.06,2,0,65.75,0.0
495,Filip Krovinović,West Bromwich Albion,CRO,MF,24,11,5,546,0,0,365,84.4,0,0,0.04,0.05,0,0,49.63636363636363,0.0
496,Lee Peltier,West Bromwich Albion,ENG,DF,33,4,3,229,0,0,76,63.2,0,0,0.0,0.0,1,0,57.25,0.0
497,Hal Robson-Kanu,West Bromwich Albion,WAL,FW,31,19,2,561,2,0,86,74.4,0,0,0.24,0.06,2,0,29.526315789473685,0.10526315789473684
498,Kamil Grosicki,West Bromwich Albion,POL,"FW,MF",32,3,2,148,0,1,49,65.3,0,0,0.06,0.07,0,0,49.333333333333336,0.0
499,Kyle Edwards,West Bromwich Albion,ENG,"MF,FW",22,5,1,118,0,0,35,85.7,0,0,0.11,0.0,0,0,23.6,0.0
500,David Button,West Bromwich Albion,ENG,GK,31,1,1,90,0,0,37,43.2,0,0,0.0,0.0,0,0,90.0,0.0
501,Ahmed Hegazi,West Bromwich Albion,EGY,DF,29,1,1,90,0,0,52,71.2,0,0,0.0,0.0,0,0,90.0,0.0
502,Charlie Austin,West Bromwich Albion,ENG,FW,31,5,0,138,0,0,34,73.5,0,0,0.13,0.0,0,0,27.6,0.0
503,Sam Field,West Bromwich Albion,ENG,MF,22,3,0,62,0,0,23,65.2,0,0,0.0,0.0,0,0,20.666666666666668,0.0
504,Rekeem Harper,West Bromwich Albion,ENG,MF,20,2,0,32,0,0,16,81.3,0,0,0.12,0.0,0,0,16.0,0.0
505,Aaron Ramsdale,Sheffield United,ENG,GK,22,38,38,3420,0,0,1141,49.1,0,0,0.0,0.0,1,0,90.0,0.0
506,George Baldock,Sheffield United,ENG,DF,27,32,32,2787,0,2,1160,78.5,0,0,0.04,0.05,7,0,87.09375,0.0
507,Chris Basham,Sheffield United,ENG,"DF,MF",32,31,31,2576,0,1,1105,81.4,0,0,0.03,0.03,5,0,83.09677419354838,0.0
508,Enda Stevens,Sheffield United,IRL,DF,30,30,30,2700,0,1,1427,77.5,0,0,0.04,0.05,6,0,90.0,0.0
509,John Egan,Sheffield United,IRL,DF,27,31,30,2629,0,1,1094,84.6,0,0,0.02,0.01,7,1,84.80645161290323,0.0
510,John Fleck,Sheffield United,SCO,MF,28,31,29,2575,0,2,1212,78.1,0,0,0.03,0.09,4,0,83.06451612903226,0.0
511,David McGoldrick,Sheffield United,IRL,"FW,MF",32,35,28,2397,8,1,938,74.5,0,0,0.26,0.05,7,0,68.48571428571428,0.22857142857142856
512,Oliver Norwood,Sheffield United,NIR,MF,29,32,26,2220,0,0,1483,79.6,0,0,0.02,0.07,6,0,69.375,0.0
513,Ethan Ampadu,Sheffield United,WAL,"DF,MF",19,25,23,2089,0,0,1064,80.5,0,0,0.01,0.04,3,0,83.56,0.0
514,John Lundstram,Sheffield United,ENG,MF,26,28,23,2032,0,2,1041,81.0,0,1,0.09,0.05,8,1,72.57142857142857,0.0
